park_id,park_name,latitude,longitude,park_type,management_priority,acres,golf_availability,soccer_availability,memorial_availability,gym_availability,shade_area_availability,volleyball_availability,swimming_pool_availability,tennis_availability,playground_availability,baseball_availability,recreation_center_availability,basketball_availability,garden_center_availability,parking_lot_availability,facility_total,visits_2019,origin_breadth_2019,visits_per_acre_2019,visits_2020,origin_breadth_2020,visits_per_acre_2020,visits_2021,origin_breadth_2021,visits_per_acre_2021
park-payton-gin-pocket-park,Payton Gin Pocket Park,30.35765,-97.70094,Pocket,Passive Park,0.9709,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,198.231522,205,204.172955,106.92089,122,110.125543,217.128108,172,223.635913
park-pecan-springs-school-park,Pecan Springs School Park,30.302832,-97.675664,School,Active Park,4.55,None,None,None,None,None,None,None,None,None,None,None,None,None,Low,1,323.12404,375,71.016273,115.047153,158,25.285089,197.994556,243,43.515287
park-pickfair-pocket-park,Pickfair Pocket Park,30.4392,-97.8111,Pocket,Active Park,1.8207,None,None,None,None,Low,None,None,None,Low,None,Low,None,None,Low,5,14.074709,67,7.730383,20.29312,81,11.145779,11.439955,50,6.283273
park-pillow-school-park,Pillow School Park,30.369526,-97.734136,School,Active Park,7.2,None,None,None,None,None,None,None,None,Low,None,None,None,None,Low,3,255.220172,357,35.447246,135.714043,214,18.849173,97.616851,169,13.557896
park-piney-bend-neighborhood-park,Piney Bend Neighborhood Park,30.19358,-97.83233,Neighborhood,Mixed-use Park,4.335,None,None,None,None,None,None,None,None,Low,None,None,None,None,None,1,113.047582,196,26.077874,85.549677,167,19.734643,88.332682,157,20.376628
park-pioneer-crossing-neighborhood-park,Pioneer Crossing Neighborhood Park,30.363752,-97.640132,Neighborhood,Natural Area,17.96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,26.785561,114,1.491401,23.988541,100,1.335665,17.693622,82,0.985168
park-plummers-cemetery,Plummers Cemetery,30.27691,-97.68918,Cemetery,Special Use Area,6.911,None,Low,Low,Low,Low,None,None,Low,Low,Low,Low,Low,None,Low,11,150.732493,226,21.810518,47.290852,113,6.842838,142.288415,145,20.588687
park-ponciana-neighborhood-park,Ponciana Neighborhood Park,30.200826,-97.755222,Neighborhood,Mixed-use Park,5.179,None,None,None,None,Low,None,None,None,Medium,None,None,None,None,None,4,356.914272,402,68.915673,148.708353,221,28.713719,131.943791,214,25.476693
park-quail-creek-neighborhood-park,Quail Creek Neighborhood Park,30.369231,-97.700906,Neighborhood,Mixed-use Park,16.299,None,None,None,None,None,None,None,None,Low,None,None,None,None,None,1,1747.269081,844,107.200999,1366.510039,668,83.840115,877.611672,472,53.84451
park-red-bluff-neighborhood-park,Red Bluff Neighborhood Park,30.268542,-97.677177,Neighborhood,Natural Area,7.196,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0.055091,1,0.007656,0.761466,5,0.105818,19.486693,47,2.70799
park-red-bud-isle,Red Bud Isle,30.29118,-97.787025,Special,Mixed-use Park,17.49,None,None,High,None,None,None,None,None,None,None,None,None,None,Low,8,239.125518,284,13.672128,289.970078,297,16.579193,130.666304,185,7.470915
park-reed-neighborhood-park,Reed Neighborhood Park,30.30489,-97.77155,Neighborhood,Active Park,6.369,None,None,Medium,None,None,None,Low,None,Low,None,None,None,None,Low,6,141.800497,239,22.26417,114.369934,186,17.957283,91.330658,151,14.339874
park-reilly-school-park,Reilly School Park,30.3273,-97.71967,School,Not available,6.965,None,None,None,None,None,None,None,None,None,None,None,Low,None,None,1,279.718458,316,40.160583,94.145763,168,13.51698,83.991434,137,12.059072
park-riata-neighborhood-park,Riata Neighborhood Park,30.42854,-97.73928,Neighborhood,Mixed-use Park,8.08,None,None,None,None,None,None,None,Low,Low,None,None,None,None,None,3,118.880077,227,14.712881,47.278684,124,5.851322,27.47672,88,3.400584
park-ricky-guerrero-neighborhood-park,Ricky Guerrero Neighborhood Park,30.24748,-97.76513,Neighborhood,Active Park,2.0145,None,None,None,None,None,None,None,None,Low,None,None,None,None,Low,2,60.258965,155,29.912616,36.747682,87,18.241589,43.151669,91,21.420536
